Name,Platform,YearOfRelease,Genre,Publisher,Developer,NorthAmericaSales,EuropeSales,JapanSales,OtherSales,GlobalSales,CriticScore,UserScore,UserCount
Alter Ego,PC,1985,Simulation,Activision,"Viva Media, Viva Media, LLC",0,0.03,0,0.01,0.03,59,5.8,19
SimCity,PC,1988,Simulation,Maxis,Maxis,0,0.02,0,0.01,0.03,64,2.2,4572
Doom,PC,1992,Shooter,id Software,id Software,0.02,0,0,0,0.03,85,8.2,1796
Battle Arena Toshinden,PS,1994,Fighting,Sony Computer Entertainment,Tamsoft,0.39,0.26,0.53,0.08,1.27,69,6.3,4
WipEout XL,PS,1996,Racing,Psygnosis,Psygnosis,0.14,0.1,0,0.02,0.25,93,8.7,20
Tomb Raider,PS,1996,Action,Eidos Interactive,Core Design Ltd.,2.29,1.97,0.13,0.24,4.63,91,8.6,147
Tomb Raider,PC,1996,Action,Eidos Interactive,"Crystal Dynamics, Nixxes Software",0.96,0.07,0,0,1.03,86,8.5,3552
Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,Namco,2.26,1.89,1.36,0.23,5.74,89,8.9,102
Super Puzzle Fighter II Turbo,PS,1996,Puzzle,Virgin Interactive,Capcom,0.08,0.05,0,0.01,0.14,83,7.4,5
Resident Evil,PS,1996,Action,Virgin Interactive,Capcom,2.05,1.16,1.11,0.73,5.05,91,9,266
PaRappa The Rapper,PS,1996,Misc,Sony Computer Entertainment,NanaOn-Sha,0.26,0.16,1.46,0.03,1.92,92,7.4,48
Diablo,PC,1996,Role-Playing,Activision,Blizzard Entertainment,0.01,1.58,0,0,1.59,94,8.7,850
Worms 2,PC,1997,Strategy,Microprose,Team 17,0,0.01,0,0,0.01,6,8.1,12
Tomb Raider II,PS,1997,Action,Eidos Interactive,Core Design Ltd.,2.3,2.46,0.2,0.28,5.24,85,2,25
Tomb Raider II,PC,1997,Action,Eidos Interactive,Core Design Ltd.,0.91,1.25,0,0.13,2.29,15,8.3,37
Theme Hospital,PC,1997,Strategy,Electronic Arts,Bullfrog Productions,2.3,0.1,0,0,2.4,4,9,90
Tenchu: Stealth Assassins,PS,1997,Action,Activision,Acquire,0.95,0.64,0.27,0.13,1.99,87,8.8,45
RPG Maker,PS,1997,Role-Playing,ASCII Entertainment,Kuusou Kagaku,0.11,0.07,0.29,0.03,0.5,66,8.2,9
Riven: The Sequel to Myst,PC,1997,Adventure,Red Orb,Cyan Worlds,1.52,0.82,0,0.1,2.43,83,1,50
RayStorm,PS,1997,Shooter,Sony Computer Entertainment,Taito Corporation,0.04,0.03,0,0,0.07,79,7.8,4
Oddworld: Abe's Oddysee,PS,1997,Platform,GT Interactive,Oddworld Inhabitants,0.75,0.44,0,0.06,1.24,85,9,96
Monster Rancher,PS,1997,Simulation,Tecmo Koei,Tecmo,0.12,0.08,0.74,0.07,1.01,86,8.3,10
Half-Life,PC,1997,Shooter,Vivendi Games,Valve Software,4.03,0,0.09,0,4.12,96,9.1,3161
Grand Prix Legends,PC,1997,Racing,Vivendi Games,Papyrus,0,0.01,0,0,0.01,14,7.5,6
Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,Polyphony Digital,4.02,3.87,2.54,0.52,10.95,96,8.7,138
Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,SquareSoft,3.01,2.47,3.28,0.96,9.72,92,9.2,1282
Final Fantasy Tactics,PS,1997,Role-Playing,SquareSoft,SquareSoft,0.93,0.12,1.34,0.06,2.45,83,8.2,190
Elemental Gearbolt,PS,1997,Shooter,Sony Computer Entertainment,Alfa System,0.03,0.02,0,0,0.06,76,2,34
Colony Wars,PS,1997,Simulation,Psygnosis,Psygnosis,0.24,0.16,0,0.03,0.42,91,7.8,12
Castlevania: Symphony of the Night,PS,1997,Platform,Konami Digital Entertainment,Konami,0.58,0.4,0.21,0.08,1.27,93,9.4,358
Bushido Blade,PS,1997,Fighting,Sony Computer Entertainment,Light Weight,0.39,0.27,0.43,0.08,1.16,83,7.9,16
Alundra,PS,1997,Role-Playing,Psygnosis,Matrix Software,0.13,0.09,0,0.01,0.23,86,9,41
Ace Combat 2,PS,1997,Simulation,Sony Computer Entertainment,Namco,0.16,0.11,0.56,0.06,0.89,83,8.2,22
Xenogears,PS,1998,Role-Playing,SquareSoft,SquareSoft,0.29,0.19,0.89,0.1,1.46,84,8.4,204
Vanguard Bandits,PS,1998,Strategy,Human Entertainment,S-Neo,0.04,0.03,0,0,0.07,62,7.4,15
Tomb Raider: The Last Revelation,PC,1998,Action,Eidos Interactive,Core Design Ltd.,0.41,0,0,0,0.41,9,8.6,50
